yahoo,tv,name,exchange,epsTtm,peTtm,growth5y,rule,pegLynch,pass
GFF,NYSE:GFF,Griffon Corporation,NYSE,1.13,23.3595,17.247,lynch_peg,1.35441,false
GFI,NYSE:GFI,Gold Fields Limited,NYSE,4,9.78772,37.2933,lynch_peg,0.262453,true
GFL,NYSE:GFL,GFL Environmental Inc.,NYSE,0.66,-92.4564,125.32,lynch_peg,-0.737761,false
GFR,NYSE:GFR,Greenfire Resources Ltd.,NYSE,0.64,-11.1195,-56.3564,pe15,0.197307,false
GFS,NASDAQ:GFS,GLOBALFOUNDRIES Inc.,NASDAQ,1.59,41.7615,-16.0769,pe15,-2.59761,false
GGAL,NASDAQ:GGAL,Grupo Financiero Galicia S.A.,NASDAQ,1422,129.437,39.5593,lynch_peg,3.27199,false
GGG,NYSE:GGG,Graco Inc.,NYSE,3.14,25.2786,9.77228,pe15,2.58677,false
GHM,NYSE:GHM,Graham Corporation,NYSE,1.14,105.481,36.5648,lynch_peg,2.88477,false
GIB,NYSE:GIB,CGI Inc.,NYSE,7.45,12.6375,11.7753,pe15,1.07322,true
GIII,NASDAQ:GIII,"G-III Apparel Group, Ltd.",NASDAQ,1.58,11.2241,26.384,lynch_peg,0.425412,true
GIL,NYSE:GIL,Gildan Activewear Inc.,NYSE,2.65,105.37,12.6031,pe15,8.36066,false
GILD,NASDAQ:GILD,"Gilead Sciences, Inc.",NASDAQ,6.84,-52.8154,133.805,lynch_peg,-0.394718,false
GILT,NASDAQ:GILT,Gilat Satellite Networks Ltd.,NASDAQ,0.35,25.2282,-11.091,pe15,-2.27464,false
GL,NYSE:GL,Globe Life Inc.,NYSE,14.3,11.8133,15.6904,lynch_peg,0.7529,true
GLBE,NASDAQ:GLBE,Global-e Online Ltd.,NASDAQ,0.4,46.242,129.374,lynch_peg,0.357429,true
GLNG,NASDAQ:GLNG,Golar LNG Limited,NASDAQ,0.65,37.6014,-52.9843,pe15,-0.709671,false
GLOB,NYSE:GLOB,Globant S.A.,NYSE,2.33,15.5257,10.5675,pe15,1.4692,false
GLPI,NASDAQ:GLPI,"Gaming and Leisure Properties, Inc.",NASDAQ,2.95,12.6507,5.01274,pe15,2.52371,true
GLW,NYSE:GLW,Corning Inc,NYSE,1.86,74.991,28.063,lynch_peg,2.67223,false
GM,NYSE:GM,General Motors Company,NYSE,3.33,43.3425,-5.24731,pe15,-8.25995,false
GMAB,NASDAQ:GMAB,Genmab A/S,NASDAQ,1.55,24.4757,-26.6497,pe15,-0.918422,false
