NASDAQ:MASI|Masimo Corporation
NASDAQ:MAT|Mattel, Inc.
NYSE:MATX|Matson, Inc.
NASDAQ:MAZE|Maze Therapeutics, Inc.
NASDAQ:MBIN|Merchants Bancorp
NASDAQ:MBLY|Mobileye Global Inc.
NYSE:MC|Moelis & Company
NASDAQ:MCHB|Mechanics Bancorp
NASDAQ:MCW|Mister Car Wash, Inc.
NASDAQ:MDGL|Madrigal Pharmaceuticals, Inc.
NYSE:MDU|MDU Resources Group, Inc.
NASDAQ:MEOH|Methanex Corporation
NYSE:MGM|MGM Resorts International
NYSE:MGY|Magnolia Oil & Gas Corporation
NYSE:MH|McGraw Hill, Inc.
NYSE:MHK|Mohawk Industries, Inc.
NYSE:MIAX|Miami International Holdings, Inc.
NASDAQ:MIDD|The Middleby Corporation
NYSE:MIR|Mirion Technologies, Inc.
NASDAQ:MIRM|Mirum Pharmaceuticals, Inc.
NASDAQ:MKTX|MarketAxess Holdings Inc.
NASDAQ:MLCO|Melco Resorts & Entertainment Limited
NASDAQ:MLYS|Mineralys Therapeutics, Inc.
NYSE:MMS|Maximus, Inc.
NASDAQ:MMSI|Merit Medical Systems, Inc.
NASDAQ:MMYT|MakeMyTrip Limited
NASDAQ:MNDY|monday.com Ltd.
NYSE:MNR|Mach Natural Resources LP
NYSE:MNSO|MINISO Group Holding Limited
NYSE:MOH|Molina Healthcare, Inc.
NASDAQ:MORN|Morningstar, Inc.
NYSE:MOS|The Mosaic Company
NYSE:MP|MP Materials Corp.
NYSE:MPT|Medical Properties Trust, Inc.
NASDAQ:MRCY|Mercury Systems, Inc.
NYSE:MRP|Millrose Properties, Inc.
NASDAQ:MRX|Marex Group plc
NYSE:MSGE|Madison Square Garden Entertainment Corp.
NYSE:MSM|MSC Industrial Direct Co., Inc.
NASDAQ:MTCH|Match Group, Inc.
NYSE:MTDR|Matador Resources Company
NYSE:MTG|MGIC Investment Corporation
NYSE:MTH|Meritage Homes Corporation
NYSE:MTN|Vail Resorts, Inc.
NYSE:MUR|Murphy Oil Corporation
NYSE:MUSA|Murphy USA Inc.
NYSE:MWA|Mueller Water Products, Inc.
NYSE:NAD|Nuveen Quality Municipal Income Fund
NASDAQ:NAMS|NewAmsterdam Pharma Company N.V.
NYSE:NATL|NCR Atleos Corporation
NASDAQ:NAVN|Navan, Inc.
NYSE:NE|Noble Corporation plc
NYSE:NEA|Nuveen AMT-Free Quality Municipal Income Fund
NASDAQ:NEOG|Neogen Corporation
NASDAQ:NESR|National Energy Services Reunited Corp.
NYSE:NFG|National Fuel Gas Company
